iter	Passed	Remaining
0	5	25758
1	9	23760
2	13	22734
3	17	22157
4	21	21447
5	26	21973
6	32	22830
7	36	22587
8	40	22481
9	44	21960
10	47	21581
11	50	21130
12	55	21222
13	58	20964
14	62	20713
15	65	20500
16	69	20480
17	73	20336
18	76	20144
19	80	19985
20	84	19960
21	88	19947
22	91	19795
23	94	19663
24	98	19592
25	102	19598
26	105	19513
27	109	19460
28	113	19402
29	115	19203
30	119	19214
31	123	19137
32	126	19066
33	130	18993
34	133	18993
35	137	18939
36	141	18913
37	144	18852
38	148	18908
39	151	18835
40	155	18772
41	158	18737
42	162	18739
43	165	18669
44	169	18618
45	172	18552
46	175	18467
47	181	18691
48	184	18675
49	190	18879
50	194	18906
51	200	19068
52	205	19185
53	210	19238
54	214	19300
55	218	19262
56	221	19245
57	226	19324
58	231	19375
59	235	19426
60	240	19438
61	244	19478
62	249	19533
63	256	19808
64	261	19840
65	265	19882
66	270	19924
67	274	19927
68	278	19935
69	286	20187
70	291	20216
71	295	20228
72	300	20267
73	304	20256
74	308	20260
75	312	20275
76	317	20325
77	322	20327
78	326	20334
79	331	20375
80	335	20363
81	339	20354
82	344	20395
83	350	20520
84	355	20552
85	359	20565
86	364	20579
87	369	20623
88	374	20682
89	380	20753
90	384	20715
91	388	20739
92	392	20706
93	396	20706
94	401	20705
95	406	20745
96	409	20721
97	414	20725
98	418	20722
99	422	20719
100	425	20655
101	429	20628
102	433	20608
103	437	20580
104	441	20567
105	445	20582
106	449	20545
107	453	20524
108	457	20519
109	462	20577
110	465	20521
111	469	20508
112	473	20474
113	476	20436
114	480	20423
115	483	20374
116	487	20342
117	491	20353
118	496	20346
119	501	20382
120	505	20397
121	510	20400
122	514	20410
123	519	20445
124	524	20445
125	528	20448
126	533	20457
127	537	20469
128	542	20471
129	547	20505
130	552	20537
131	557	20569
132	562	20568
133	568	20636
134	572	20644
135	576	20632
136	582	20659
137	586	20649
138	590	20651
139	596	20719
140	601	20717
141	605	20721
142	610	20740
143	615	20751
144	619	20754
145	622	20711
146	627	20712
147	630	20685
148	634	20654
149	639	20674
150	643	20672
151	647	20656
152	652	20674
153	657	20701
154	662	20708
155	667	20720
156	672	20757
157	676	20725
158	680	20726
159	685	20747
160	689	20716
161	693	20712
162	697	20687
163	701	20683
164	705	20671
165	709	20650
166	712	20628
167	716	20606
168	719	20578
169	724	20596
170	729	20611
171	733	20586
172	737	20564
173	740	20550
174	745	20546
175	749	20542
176	752	20504
177	755	20469
178	760	20485
179	762	20428
180	766	20400
181	769	20372
182	772	20335
183	778	20371
184	781	20341
185	784	20307
186	788	20283
187	791	20266
188	796	20276
189	800	20265
190	806	20308
191	809	20281
192	814	20289
193	818	20285
194	822	20276
195	826	20265
196	830	20243
197	834	20229
198	838	20235
199	842	20216
200	846	20199
201	851	20220
202	855	20222
203	861	20242
204	865	20254
205	869	20237
206	874	20237
207	878	20238
208	882	20229
209	886	20218
210	890	20206
211	894	20201
212	897	20180
213	901	20163
214	906	20183
215	910	20169
216	914	20165
217	918	20147
218	922	20137
219	925	20111
220	929	20103
221	933	20086
222	937	20088
223	940	20061
224	944	20042
225	947	20021
226	951	19997
227	954	19984
228	958	19966
229	962	19956
230	965	19928
231	969	19923
232	973	19909
233	975	19871
234	978	19849
235	982	19834
236	985	19802
237	988	19782
238	992	19765
239	995	19748
240	1000	19749
241	1004	19757
242	1009	19762
243	1015	19785
244	1019	19780
245	1023	19775
246	1027	19766
247	1033	19793
248	1035	19763
249	1038	19740
250	1042	19718
251	1048	19747
252	1051	19729
253	1054	19709
254	1058	19691
255	1062	19686
256	1065	19672
257	1069	19653
258	1072	19633
259	1076	19633
260	1080	19615
261	1083	19596
262	1087	19587
263	1092	19590
264	1095	19575
265	1099	19566
266	1104	19572
267	1111	19621
268	1114	19592
269	1117	19570
270	1120	19559
271	1124	19549
272	1129	19563
273	1133	19547
274	1137	19546
275	1141	19532
276	1144	19512
277	1148	19501
278	1151	19490
279	1155	19476
280	1159	19463
281	1162	19455
282	1166	19449
283	1170	19443
284	1173	19422
285	1178	19426
286	1183	19430
287	1187	19432
288	1191	19418
289	1199	19480
290	1202	19466
291	1206	19451
292	1209	19434
293	1215	19449
294	1218	19438
295	1222	19423
296	1225	19406
297	1230	19421
298	1234	19406
299	1237	19393
300	1241	19384
301	1246	19389
302	1250	19390
303	1256	19413
304	1261	19416
305	1266	19431
306	1270	19422
307	1274	19420
308	1283	19485
309	1286	19470
310	1291	19470
311	1295	19461
312	1298	19448
313	1302	19431
314	1306	19427
315	1309	19410
316	1312	19396
317	1316	19383
318	1320	19379
319	1324	19365
320	1327	19350
321	1330	19333
322	1334	19325
323	1338	19314
324	1341	19302
325	1346	19298
326	1352	19331
327	1356	19316
328	1359	19299
329	1362	19284
330	1367	19290
331	1371	19280
332	1375	19277
333	1381	19304
334	1385	19287
335	1390	19296
336	1393	19281
337	1397	19274
338	1401	19263
339	1404	19247
340	1407	19235
341	1414	19261
342	1417	19248
343	1421	19236
344	1425	19235
345	1429	19230
346	1432	19214
347	1436	19202
348	1440	19195
349	1444	19193
350	1449	19194
351	1453	19188
352	1458	19201
353	1462	19193
354	1466	19185
355	1470	19177
356	1473	19162
357	1477	19152
358	1480	19140
359	1484	19136
360	1488	19124
361	1491	19114
362	1495	19098
363	1498	19090
364	1503	19095
365	1507	19083
366	1510	19074
367	1515	19069
368	1521	19093
369	1525	19094
370	1531	19111
371	1535	19097
372	1540	19112
373	1544	19108
374	1548	19102
375	1552	19089
376	1555	19075
377	1561	19089
378	1564	19079
379	1568	19067
380	1571	19052
381	1575	19052
382	1579	19037
383	1582	19024
384	1585	19010
385	1590	19013
386	1594	19008
387	1598	19004
388	1602	18993
389	1607	19003
390	1611	19000
391	1615	18994
392	1620	18994
393	1624	18990
394	1628	18980
395	1632	18978
396	1637	18983
397	1641	18981
398	1646	18984
399	1650	18984
400	1654	18980
401	1659	18975
402	1662	18966
403	1667	18974
404	1672	18976
405	1677	18978
406	1682	18985
407	1687	18990
408	1691	18987
409	1696	18993
410	1705	19044
411	1711	19061
412	1715	19057
413	1720	19053
414	1724	19050
415	1730	19063
416	1734	19064
417	1738	19062
418	1744	19070
419	1748	19063
420	1752	19062
421	1757	19069
422	1762	19065
423	1766	19066
424	1771	19066
425	1775	19062
426	1779	19058
427	1783	19048
428	1788	19061
429	1792	19051
430	1797	19051
431	1801	19051
432	1806	19057
433	1811	19058
434	1816	19060
435	1821	19071
436	1826	19072
437	1830	19070
438	1836	19081
439	1841	19087
440	1845	19079
441	1850	19086
442	1855	19081
443	1860	19088
444	1866	19103
445	1870	19100
446	1876	19111
447	1882	19123
448	1887	19130
449	1893	19141
450	1898	19146
451	1902	19145
452	1908	19158
453	1912	19150
454	1915	19138
455	1919	19129
456	1925	19138
457	1929	19138
458	1934	19136
459	1940	19148
460	1943	19139
461	1948	19135
462	1953	19139
463	1958	19144
464	1962	19136
465	1965	19125
466	1971	19132
467	1975	19126
468	1979	19125
469	1985	19138
470	1990	19137
471	1994	19134
472	1999	19132
473	2003	19133
474	2007	19128
475	2012	19127
476	2018	19144
477	2023	19146
478	2031	19170
479	2035	19171
480	2041	19177
481	2047	19194
482	2052	19194
483	2057	19197
484	2063	19206
485	2067	19200
486	2070	19190
487	2075	19185
488	2078	19173
489	2082	19167
490	2086	19161
491	2090	19153
492	2093	19139
493	2096	19126
494	2100	19113
495	2103	19102
496	2107	19093
497	2110	19079
498	2114	19068
499	2117	19057
500	2121	19051
501	2124	19039
502	2128	19028
503	2131	19016
504	2135	19010
505	2139	19005
506	2143	18992
507	2146	18982
508	2150	18972
509	2153	18963
510	2157	18954
511	2161	18943
512	2165	18941
513	2169	18933
514	2172	18921
515	2178	18927
516	2183	18932
517	2190	18957
518	2202	19012
519	2206	19013
520	2215	19043
521	2220	19049
522	2225	19053
523	2232	19066
524	2236	19065
525	2241	19062
526	2246	19071
527	2250	19062
528	2255	19061
529	2261	19072
530	2265	19064
531	2271	19077
532	2277	19090
533	2281	19082
534	2286	19084
535	2291	19086
536	2295	19079
537	2300	19076
538	2305	19081
539	2309	19071
540	2313	19070
541	2317	19063
542	2321	19057
543	2325	19051
544	2329	19044
545	2337	19065
546	2341	19062
547	2347	19070
548	2352	19072
549	2357	19072
550	2362	19077
551	2369	19094
552	2374	19096
553	2379	19093
554	2383	19086
555	2387	19080
556	2390	19068
557	2396	19073
558	2400	19068
559	2404	19062
560	2408	19058
561	2412	19052
562	2416	19046
563	2420	19038
564	2425	19036
565	2429	19033
566	2434	19034
567	2439	19037
568	2444	19037
569	2449	19036
570	2457	19059
571	2462	19059
572	2467	19060
573	2471	19059
574	2475	19054
575	2479	19044
576	2483	19040
577	2487	19032
578	2491	19027
579	2495	19016
580	2499	19010
581	2502	18997
582	2506	18986
583	2509	18976
584	2514	18980
585	2518	18968
586	2522	18961
587	2525	18950
588	2529	18946
589	2533	18935
590	2536	18924
591	2540	18913
592	2543	18905
593	2547	18897
594	2550	18885
595	2554	18873
596	2557	18863
597	2561	18853
598	2564	18843
599	2568	18832
600	2571	18821
601	2575	18816
602	2578	18804
603	2582	18793
604	2585	18782
605	2589	18777
606	2593	18766
607	2596	18758
608	2600	18747
609	2604	18744
610	2608	18738
611	2612	18730
612	2618	18737
613	2621	18729
614	2625	18718
615	2628	18708
616	2632	18701
617	2636	18696
618	2640	18687
619	2643	18676
620	2647	18666
621	2650	18659
622	2654	18646
623	2657	18637
624	2661	18627
625	2664	18619
626	2668	18613
627	2672	18602
628	2675	18591
629	2678	18578
630	2682	18571
631	2685	18562
632	2689	18552
633	2692	18543
634	2697	18542
635	2700	18532
636	2704	18520
637	2707	18510
638	2711	18503
639	2714	18494
640	2717	18483
641	2721	18475
642	2725	18464
643	2729	18463
644	2732	18452
645	2736	18443
646	2739	18432
647	2744	18429
648	2748	18425
649	2751	18416
650	2755	18406
651	2759	18401
652	2763	18397
653	2766	18387
654	2770	18378
655	2774	18370
656	2777	18362
657	2781	18353
658	2784	18344
659	2788	18337
660	2792	18327
661	2795	18320
662	2799	18310
663	2802	18301
664	2806	18295
665	2809	18284
666	2813	18275
667	2816	18263
668	2819	18254
669	2823	18245
670	2826	18236
671	2830	18226
672	2834	18222
673	2837	18214
674	2841	18205
675	2844	18197
676	2848	18191
677	2852	18182
678	2855	18172
679	2859	18164
680	2862	18155
681	2867	18154
682	2870	18145
683	2874	18136
684	2878	18130
685	2882	18130
686	2886	18120
687	2890	18115
688	2893	18106
689	2897	18096
690	2900	18089
691	2904	18079
692	2907	18072
693	2911	18063
694	2914	18055
695	2918	18047
696	2922	18041
697	2927	18041
698	2931	18038
699	2935	18030
700	2939	18024
701	2942	18016
702	2946	18010
703	2950	18002
704	2953	17992
705	2957	17985
706	2960	17975
707	2965	17977
708	2969	17969
709	2973	17966
710	2977	17959
711	2981	17954
712	2985	17949
713	2989	17947
714	2993	17941
715	2997	17936
716	3002	17935
717	3005	17926
718	3009	17918
719	3013	17912
720	3018	17911
721	3022	17910
722	3026	17904
723	3031	17904
724	3036	17903
725	3040	17900
726	3044	17895
727	3049	17893
728	3053	17889
729	3057	17883
730	3064	17897
731	3068	17891
732	3073	17894
733	3078	17894
734	3083	17892
735	3087	17890
736	3091	17882
737	3096	17881
738	3100	17877
739	3104	17869
740	3108	17864
741	3112	17859
742	3116	17854
743	3123	17866
744	3127	17862
745	3131	17855
746	3135	17851
747	3140	17854
748	3144	17846
749	3149	17846
750	3154	17849
751	3158	17842
752	3162	17836
753	3166	17829
754	3171	17831
755	3174	17823
756	3179	17820
757	3185	17825
758	3189	17824
759	3194	17820
760	3198	17815
761	3202	17810
762	3205	17800
763	3210	17800
764	3215	17801
765	3219	17794
766	3223	17792
767	3228	17790
768	3232	17786
769	3236	17778
770	3240	17776
771	3246	17779
772	3251	17777
773	3255	17772
774	3260	17776
775	3264	17771
776	3269	17770
777	3274	17767
778	3279	17771
779	3284	17770
780	3289	17769
781	3293	17764
782	3297	17759
783	3301	17755
784	3307	17759
785	3311	17753
786	3314	17744
787	3318	17740
788	3324	17744
789	3329	17742
790	3334	17743
791	3339	17741
792	3343	17737
793	3347	17732
794	3351	17729
795	3356	17725
796	3360	17721
797	3365	17721
798	3369	17716
799	3373	17711
800	3377	17707
801	3382	17704
802	3386	17700
803	3390	17694
804	3396	17698
805	3400	17691
806	3405	17694
